Date,Transcript,Summary,Sentiment,Keywords,Word Count,Processing Time,Title,Meeting Title
28-07-2026 01:59:21," And I can't be without you Life seems empty now Every breath seems empty now Without you, without you, without you There is a And I can't be without you Without you, without you, without you There is a And I can't be without you Music Why do strangers make me feel That they don't look at me There is no desire The destination is lost in the path I have lost my hearing Every prayer of mine Has been left unanswered Without you, without you, without you There is a desire in the air Without you, without you, without you There is a desire in the air Without you, without you, without you Why did the light in the path Leave my hand Why did the evening turn its face this way Every morning A merciless night has become Is this what is between us An unseen, an unheard-of story Life seems empty now Every breath seems empty now Without you, without you, without you There is a desire in the air Without you, without you, without you There is a desire in the air Without you, without you, without you Time will tell Wait for your fate Time will wait Wait for your future Time will wait Wait for your destiny Time will wait Wait for your destiny Time will wait you","""And I can't be without you"" is a song by American singer-songwriter Amy Winehouse. ""Life seems empty now Every breath seems empty"" ""Time will tell Wait for your fate"" is ""Waiting for your destiny""",😟 Negative,"unheard-of story Life, wait Wait, Time will wait, destiny Time, Life seems empty",224.0,286.76,,
28-07-2026 02:12:06," O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez, O Rang Rez,","O Rang Rez is a song by Oasis. The song was written in the 1970s and 1980s. It features the words ""Rang Rez,"" ""O Rangs Rez,"" and ""Rangs Rez"" It was recorded in the band's home town, O Rang, in the town of Rang.",😐 Neutral,"Rang Rez, Rez, Rang",96.0,124.16,,
28-07-2026 13:28:21," And I can't be without you Life seems empty now Every breath seems empty now Without you, without you, without you Life seems empty now Without you, without you, without you Life seems empty now Without you, without you, without you Life seems empty now Why are all the moments with strangers? That they don't match the eyes There is no desire in the world The destination is lost in the paths I have lost my heart Every prayer of mine is left unanswered Without you, without you, without you There is a desire in the air without you Without you, without you, without you There is a desire in the air without you Why is the light on the path? Why did you leave your hand? Why did the evening turn its face this way? Every morning became a night without mercy Is this what is between us? Is this a story that we have never seen or heard? Life seems empty now Every breath seems empty now Without you, without you, without you There is a desire in the air without you Without you, without you, without you There is a desire, we ask for it There is a desire, we ask for it There is a desire, we ask for it","""I can't be without you"" is a song by American singer-songwriter Amy Winehouse. ""There is a desire in the air without you,"" Winehouse writes. ""Every prayer of mine is left unanswered"" ""I have lost my heart,"" she writes.",😟 Negative,"Life seems empty, empty, Life, desire, moments with strangers",214.0,258.11,,
28-07-2026 17:11:22," Music O Colorful Gray O Rang Rez Tere Rang Darya Me Dhoobna Hai Bas Tera Bankhe Hai, Nain Rehna Tuja Bankhe Ek Bhi Saas Alag Na Hile Di Khech Le Na Pran Is Tanke Hai, Nain Rehna Tuja Bankhe Apni Hi Rang Me Mujko Rang De Dhimme Dhimme Rang Me Mujko Rang De Saundhe Saundhe Rang Me Mujko Rang De Rang De Na Rang De Na Rang De Na Apni Hi Rang Me Mujko Rang De Dhimme Dhimme Rang Me Mujko Rang De Saundhe Saundhe Rang Me Mujko Rang De Oh Oh the I I will tell you everything, my love My love, please give me your love Let me get you, my love Let me get you, my love In my own color In my own color Give me color In my own color In my own color Give me color Color, Color, Color Color you","Music O Colorful Gray O Rang Rez Tere Rang Darya Me Dhoobna Hai Bas Tera Bankhe Hai, Nain Rehna Tuja Bankhe Ek Bhi Saas Alag Na Hile Di Khech Le Na Pran Is Tanke Hai.",😊 Positive,"Dhimme Dhimme Rang, Saundhe Saundhe Rang, Nain Rehna Tuja, Rehna Tuja Bankhe, Rang Rez Tere",147.0,242.89,,
28-07-2026 17:45:55," Uerangeres Uerangeres steak I am from Mamラ Street, Mar or Chapurb and I have another black-bluey temperature and feel you in alot"". Hey, you're not the one who will do it. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. I am the one who will do it. I am the one who will do it. My heart is in the darkness of darkness. I am the one who will do it. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. I am the one who will do it. I am the one who will do it. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness. My heart is in the darkness of darkness.","My heart is in the darkness of darkness. I am the one who will do it. Uerangeres is a Spanish version of the popular song by the same name. The song was written in the 1970s and 1980s. It was recorded in the town of Uerangres, Argentina.",😐 Neutral,"Mam ラ Street, Mar or Chapurb, darkness, Uerangeres Uerangeres steak, darkness of darkness",239.0,32.73,,
28-07-2026 17:59:01, C major And your red eyes are like the stars And your red eyes are like the stars You are the only one who is the only one who is the only one who is the light You are the only one who is the light One breath is not enough One breath is not enough One breath is not enough You are the only one who is the light You are the only one who is the light One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough You are the only one who is the light You are the only one who is the light You are the only one who is the light One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough One breath is not enough for one who cures his STAR The sky blue butterfly only one who enjoys his broadband With Na But차,"""You are the only one who is the light"" ""One breath is not enough for one who cures his STAR"" ""The sky blue butterfly is the one who enjoys his broadband"" ""With Na But차"" is sung in C major.",😊 Positive,"sky blue butterfly, breath, light One breath, red eyes, sky blue",215.0,54.6,,
28-07-2026 18:38:09," Everyone know him so well Oh, the color of your red eyes, the color of your red eyes, the color of your red eyes, You are the only one who can be your friend. You are the only one who can be your friend. One breath is not different from one breath. One breath is not different from one breath. One breath is not different from one breath. One breath is not different from one breath. One breath is not different from one breath. and I hardly cuts off your insultsıy, lf you taste it The appeals notai ma mi ma I each greet their bride and sissing Oh, Rangare! Oh, Rangare! You are the one who is the best of the world! Oh, Rangare! You are the one who is the best of the world! No one is the best of you! No one is the best of the world! You are the one who is the best of the world! You are the one who is the best of the world! Fullnewness- Fullnewness Fullnewst My quantis I can't control myself cry, I can't control myself Cry, be innocent Cry, be innocent Cry, be innocent","One breath is not different from one breath. and I hardly cuts off your insultsıy, lf you taste it. The appeals notai ma mi ma I each greet their bride and sissing. Oh, Rangare! You are the one who is the best of the world!",😊 Positive,"red eyes, breath, eyes, color, red",196.0,80.52,,
28-07-2026 19:22:00, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",62.0,7.98,,
28-07-2026 19:27:49, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",62.0,7.29,,
28-07-2026 19:42:51, Good morning everyone. Today we discuss the internship project. Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday. Thank you everyone. More R&B can do everything. Help everyone.,Disargaweb prepare the final presentation by Friday. Raul should review the documentation before submission. The team must test the website and fix all the bugs. Priya will send the project report to the guide tomorrow. We need to complete the project before Monday.,😊 Positive,"Good morning, presentation by Friday, Good, project, Today we discuss",62.0,9.07,,
